,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone,SO2i,NOi,PM25i,PM10i,Ozonei,NH3i,COi,AQI,AQI_Range
0,50.08,78.39,12.82,5.16,4.15,0.27,39.34,6.45,16.025,83.46666666666667,97.9875,39.34,1.0375,13.5,97.9875,Satisfactory
1,41.34,74.04,15.25,2.91,4.53,0.38,35.31,3.6375,19.0625,68.9,92.55000000000001,35.31,1.1325,19.0,92.55000000000001,Satisfactory
2,40.38,80.06,19.42,4.77,3.7,0.52,25.21,5.9624999999999995,24.275000000000002,67.30000000000001,100.075,25.21,0.925,26.0,100.075,Moderately Polluted
3,40.8,86.26,17.77,5.52,3.75,0.83,26.29,6.8999999999999995,22.2125,68.0,107.825,26.29,0.9375,41.5,107.825,Moderately Polluted
4,42.55,70.35,16.32,1.24,3.44,0.38,21.13,1.55,20.4,70.91666666666666,87.9375,21.13,0.86,19.0,87.9375,Satisfactory
5,33.25,80.47,13.28,7.0,3.49,0.52,30.51,8.75,16.6,55.416666666666664,100.5875,30.51,0.8725,26.0,100.5875,Moderately Polluted
6,41.59,73.54,12.03,8.37,1.99,0.66,20.39,10.462499999999999,15.0375,69.31666666666668,91.92500000000001,20.39,0.4975,33.0,91.92500000000001,Satisfactory
7,36.65,66.38,10.68,5.67,5.82,0.52,30.95,7.0875,13.35,61.08333333333333,82.975,30.95,1.455,26.0,82.975,Satisfactory
8,26.73,65.3,9.76,4.03,8.61,0.43,26.33,5.0375000000000005,12.2,44.550000000000004,81.625,26.33,2.1525,21.5,81.625,Satisfactory
9,24.26,62.33,8.5,6.05,8.73,0.41,37.0,7.5625,10.625,40.43333333333334,77.9125,37.0,2.1825,20.5,77.9125,Satisfactory
10,24.48,50.97,8.38,6.34,8.78,0.5,41.96,7.925,10.475000000000001,40.800000000000004,63.7125,41.96,2.195,25.0,63.7125,Satisfactory
11,28.89,50.06,9.32,6.08,9.52,0.61,39.19,7.6,11.65,48.150000000000006,62.575,39.19,2.38,30.5,62.575,Satisfactory
12,47.11,84.58,15.61,5.87,6.71,0.78,19.04,7.3375,19.5125,78.51666666666667,105.725,19.04,1.6775,39.0,105.725,Moderately Polluted
13,23.09,42.53,13.82,5.18,8.15,0.59,31.0,6.475,17.275,38.483333333333334,53.1625,31.0,2.0375,29.5,53.1625,Satisfactory
14,27.52,55.82,14.42,6.38,7.88,0.63,34.1,7.975,18.025,45.86666666666667,69.775,34.1,1.97,31.5,69.775,Satisfactory
15,34.47,67.05,20.22,6.36,8.55,0.71,29.21,7.95,25.275,57.449999999999996,83.8125,29.21,2.1375,35.5,83.8125,Satisfactory
16,51.59,83.8,17.35,7.51,7.21,0.92,17.79,9.3875,21.687500000000004,85.98333333333335,104.75,17.79,1.8025,46.0,104.75,Moderately Polluted
17,36.94,109.47,12.35,7.46,6.91,0.69,25.79,9.325,15.4375,61.56666666666666,129.47,25.79,1.7275,34.5,129.47,Moderately Polluted
18,28.4,68.69,10.0,8.41,8.3,0.69,28.33,10.5125,12.5,47.333333333333336,85.8625,28.33,2.075,34.5,85.8625,Satisfactory
19,27.44,66.1,10.4,6.61,7.37,0.73,27.73,8.262500000000001,13.0,45.733333333333334,82.625,27.73,1.8425,36.5,82.625,Satisfactory
20,35.8,75.77,16.66,8.67,7.55,0.79,20.55,10.8375,20.825,59.666666666666664,94.71249999999999,20.55,1.8875,39.5,94.71249999999999,Satisfactory
21,34.68,71.3,12.8,8.66,6.85,0.76,23.52,10.825,16.0,57.8,89.125,23.52,1.7125,38.0,89.125,Satisfactory
22,32.33,64.52,8.03,6.61,6.75,0.64,38.32,8.262500000000001,10.037499999999998,53.88333333333333,80.64999999999999,38.32,1.6875,32.0,80.64999999999999,Satisfactory
23,28.03,65.04,9.44,11.35,6.39,0.54,33.62,14.1875,11.8,46.71666666666667,81.30000000000001,33.62,1.5975,27.0,81.30000000000001,Satisfactory
24,43.62,79.99,11.24,8.36,5.73,0.53,28.42,10.45,14.05,72.69999999999999,99.9875,28.42,1.4325,26.5,99.9875,Satisfactory
25,53.67,95.77,14.93,8.34,7.58,0.81,22.22,10.425,18.6625,89.45,119.71249999999999,22.22,1.895,40.5,119.71249999999999,Moderately Polluted
26,44.9,76.41,14.7,8.32,8.45,0.54,22.85,10.4,18.375,74.83333333333333,95.51249999999999,22.85,2.1125,27.0,95.51249999999999,Satisfactory
27,16.26,48.69,7.82,8.36,9.99,0.24,28.14,10.45,9.775,27.100000000000005,60.8625,28.14,2.4975,12.0,60.8625,Satisfactory
28,26.29,54.28,11.33,8.31,8.41,0.39,22.52,10.387500000000001,14.1625,43.81666666666667,67.85,22.52,2.1025,19.5,67.85,Satisfactory
29,33.11,68.0,13.07,8.32,9.1,0.51,24.28,10.4,16.3375,55.18333333333333,85.0,24.28,2.275,25.5,85.0,Satisfactory
