From Date,To Date,PM2.5,PM10,NO2,SO2,NH3,CO,Ozone
01-01-2020 00:00,02-01-2020 00:00,50.08,78.39,12.82,5.16,4.15,0.27,39.34
02-01-2020 00:00,03-01-2020 00:00,41.34,74.04,15.25,2.91,4.53,0.3766666667,35.30666667
03-01-2020 00:00,04-01-2020 00:00,40.38,80.06,19.42,4.77,3.7,0.52,25.21333333
04-01-2020 00:00,05-01-2020 00:00,40.8,86.26,17.77,5.52,3.75,0.83,26.28666667
05-01-2020 00:00,06-01-2020 00:00,42.55,70.35,16.32,1.24,3.44,0.2266666667,16.23666667
06-01-2020 00:00,07-01-2020 00:00,33.25,80.47,13.28,7,3.49,0.32,22.82333333
07-01-2020 00:00,08-01-2020 00:00,41.59,73.54,12.03,8.37,1.99,0.44,13.68333333
08-01-2020 00:00,09-01-2020 00:00,36.65,66.38,10.68,5.67,5.82,0.5166666667,30.95333333
09-01-2020 00:00,10-01-2020 00:00,26.73,65.3,9.76,4.03,8.61,0.4266666667,26.33666667
10-01-2020 00:00,11-01-2020 00:00,24.26,62.33,8.5,6.05,8.73,0.41,36.99666667
11-01-2020 00:00,12-01-2020 00:00,24.48,50.97,8.38,6.34,8.78,0.5,41.95333333
12-01-2020 00:00,13-01-2020 00:00,28.89,50.06,9.32,6.08,9.52,0.61,39.19
13-01-2020 00:00,14-01-2020 00:00,47.11,84.58,15.61,5.87,6.71,0.7833333333,19.04
14-01-2020 00:00,15-01-2020 00:00,23.09,42.53,13.82,5.18,8.15,0.5833333333,31.00333333
15-01-2020 00:00,16-01-2020 00:00,27.52,55.82,14.42,6.38,7.88,0.6266666667,35.44333333
16-01-2020 00:00,17-01-2020 00:00,34.47,67.05,20.22,6.36,8.55,0.7066666667,24.23333333
17-01-2020 00:00,18-01-2020 00:00,51.59,83.8,17.35,7.51,7.21,0.9166666667,17.78666667
18-01-2020 00:00,19-01-2020 00:00,36.94,109.47,12.35,7.46,6.91,0.6866666667,25.77
19-01-2020 00:00,20-01-2020 00:00,28.4,68.69,10,8.41,8.3,0.69,28.32333333
20-01-2020 00:00,21-01-2020 00:00,27.44,66.1,10.4,6.61,7.37,0.7333333333,26.85
21-01-2020 00:00,22-01-2020 00:00,35.8,75.77,16.66,8.67,7.55,0.79,20.54666667
22-01-2020 00:00,23-01-2020 00:00,34.68,71.3,12.8,8.66,6.85,0.7566666667,23.52
23-01-2020 00:00,24-01-2020 00:00,32.33,64.52,8.03,6.61,6.75,0.6433333333,38.31333333
24-01-2020 00:00,25-01-2020 00:00,28.03,65.04,9.44,11.35,6.39,0.54,33.62333333
25-01-2020 00:00,26-01-2020 00:00,43.62,79.99,11.24,8.36,5.73,0.5366666667,28.22333333
26-01-2020 00:00,27-01-2020 00:00,53.67,95.77,14.93,8.34,7.58,0.8066666667,21.8
27-01-2020 00:00,28-01-2020 00:00,44.9,76.41,14.7,8.32,8.45,0.5433333333,22.85333333
28-01-2020 00:00,29-01-2020 00:00,16.26,48.69,7.82,8.36,9.99,0.2466666667,28.14333333
29-01-2020 00:00,30-01-2020 00:00,26.29,54.28,11.33,8.31,8.41,0.3933333333,22.52333333
30-01-2020 00:00,31-01-2020 00:00,33.11,68,13.07,8.32,9.1,0.51,24.28666667
31-01-2020 00:00,01-02-2020 00:00,45.31,87.01,11.93,8.28,7.38,0.59,28.45333333
01-02-2020 00:00,02-02-2020 00:00,33.6,81.17,10.72,8.34,7.48,0.7266666667,33.25666667
02-02-2020 00:00,03-02-2020 00:00,29.43,73,8.31,8.33,8.37,0.61,40.43333333
03-02-2020 00:00,04-02-2020 00:00,34.37,85.83,9.34,8.32,9.11,0.76,37.25666667
04-02-2020 00:00,05-02-2020 00:00,37.07,91.18,11.32,8.36,5.69,0.89,25.46666667
05-02-2020 00:00,06-02-2020 00:00,44.23,94.56,12.38,8.33,6.52,0.9366666667,25.19333333
06-02-2020 00:00,07-02-2020 00:00,33.66,72,8.52,8.36,8.45,0.76,35.19666667
07-02-2020 00:00,08-02-2020 00:00,45.39,103.34,8.57,7.37,6.4,1.11,32.87333333
08-02-2020 00:00,09-02-2020 00:00,48.06,96.89,6.63,6.68,6.15,0.81,42.93
09-02-2020 00:00,10-02-2020 00:00,33.95,70.89,4.83,6.68,6.02,0.7933333333,47.51333333
10-02-2020 00:00,11-02-2020 00:00,38.14,87.33,9.11,6.63,6.79,1.053333333,37.65333333
11-02-2020 00:00,12-02-2020 00:00,52.9,109.39,16.46,10.18,7.87,1.18,32.52333333
12-02-2020 00:00,13-02-2020 00:00,59.82,121.37,18.27,7.14,8.51,1.32,29.15333333
13-02-2020 00:00,14-02-2020 00:00,48.32,97.3,18.07,5.62,6.37,1.043333333,21.81666667
14-02-2020 00:00,15-02-2020 00:00,35.68,80.7,15.17,7.09,7.44,0.8766666667,32.40666667
15-02-2020 00:00,16-02-2020 00:00,43.78,101.61,19.28,6.17,7.28,1.053333333,28.99666667
16-02-2020 00:00,17-02-2020 00:00,42.92,99.6,19.29,6.04,8.75,1.053333333,28.48
17-02-2020 00:00,18-02-2020 00:00,32.02,86.27,40.17,7.16,17.93,1.1,35.55333333
18-02-2020 00:00,19-02-2020 00:00,45.44,109.22,15.64,10,5.92,1.17,25.70666667
19-02-2020 00:00,20-02-2020 00:00,65.34,132.86,21.15,16.36,6.62,1.2,27.64333333
20-02-2020 00:00,21-02-2020 00:00,58.02,121.19,20.4,9.46,4.66,1.373333333,17.67666667
21-02-2020 00:00,22-02-2020 00:00,35.37,86.6,16.09,9.15,5.87,0.93,25.35333333
22-02-2020 00:00,23-02-2020 00:00,27.02,75.78,13.99,6.55,5.96,0.8633333333,35.11
23-02-2020 00:00,24-02-2020 00:00,40.25,86.43,13.41,7.59,5.87,0.8833333333,37.61
24-02-2020 00:00,25-02-2020 00:00,47.17,97.24,14.11,5.37,6.16,0.9633333333,31.00666667
25-02-2020 00:00,26-02-2020 00:00,48.15,111.98,15.02,5.68,6.12,1.176666667,29.73
26-02-2020 00:00,27-02-2020 00:00,60.52,127.68,14.24,6.23,5.31,1.373333333,26.59
27-02-2020 00:00,28-02-2020 00:00,63.92,105.9,20.08,14.99,5.02,1.496666667,23.91666667
28-02-2020 00:00,29-02-2020 00:00,56.24,134.52,21.17,10.43,4.87,1.29,19.61
29-02-2020 00:00,01-03-2020 00:00,40.64,92.17,18.17,12.22,5.33,1.036666667,22.73666667
01-03-2020 00:00,02-03-2020 00:00,34.94,81.69,23.18,11.11,5.72,0.94,22.25333333
02-03-2020 00:00,03-03-2020 00:00,28.87,78.15,14.31,9.43,5.51,1,20.82
03-03-2020 00:00,04-03-2020 00:00,41.32,90.9,17.98,10.53,7.6,1.043333333,19.59666667
04-03-2020 00:00,05-03-2020 00:00,28.64,74.96,11.82,22.3,10.6,0.69,23.56333333
05-03-2020 00:00,06-03-2020 00:00,32.4,80.9,8.68,12.6,11.43,0.5633333333,24.17666667
06-03-2020 00:00,07-03-2020 00:00,25.43,73.12,6.84,6.54,9.21,0.5666666667,23.23333333
07-03-2020 00:00,08-03-2020 00:00,34.04,78.58,13.01,5.06,8.04,0.8,25.98666667
08-03-2020 00:00,09-03-2020 00:00,33.05,74.62,12.82,6.02,7.52,0.8633333333,33.12333333
09-03-2020 00:00,10-03-2020 00:00,29.55,65.68,7.2,7.28,9.63,0.7266666667,34.3
10-03-2020 00:00,11-03-2020 00:00,36.33,74.79,7.08,12.63,9.93,0.66,22.97333333
11-03-2020 00:00,12-03-2020 00:00,23.16,67.05,6.47,9.28,9.71,0.63,25.74666667
12-03-2020 00:00,13-03-2020 00:00,24.04,75.62,7.59,12.93,8.73,0.7566666667,22.18666667
13-03-2020 00:00,14-03-2020 00:00,31.36,90.7,7.15,9.61,9.39,0.75,18.84666667
14-03-2020 00:00,15-03-2020 00:00,26.39,85.61,6.9,5.37,8.68,0.8033333333,30.20666667
15-03-2020 00:00,16-03-2020 00:00,24.86,89.08,7.89,6.02,8.27,0.91,35.42
16-03-2020 00:00,17-03-2020 00:00,26.53,74.55,9.51,6.94,8.62,0.97,21.33
17-03-2020 00:00,18-03-2020 00:00,34.53,96.21,10.88,7.68,8.41,1.213333333,26.92333333
18-03-2020 00:00,19-03-2020 00:00,35.02,90.88,11.11,12.59,8.48,1.196666667,24.05333333
